id, retning, from address,from nr, from zip, from lon, from lat, to address,to nr, to zip, to lon, to lat, fejlkode, rutenavn, meter, sekunder, hastighed, sek ved std hastighed
80,hjem > arbejde,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,Nørre Allé,41,2200,55.6947790782764,12.5610434646087,0,Gothersgade,4086,1129,13.028875110717449,896
81,arbejde > hjem,Nørre Allé,41,2200,55.6947790782764,12.5610434646087,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,0,Nørre Allé,4086,1132,12.99434628975265,896
82,hjem > arbejde,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,Nørrebrogade,58,2200,55.6899917107253,12.5556693967876,0,Gothersgade,3648,1002,13.106586826347305,800
83,arbejde > hjem,Nørrebrogade,58,2200,55.6899917107253,12.5556693967876,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,0,Nørrebrogade,3648,1007,13.041509433962265,800
84,hjem > arbejde,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,Tagensvej,101,2200,55.7034163747071,12.5471585742071,0,Sølvgade,5294,1428,13.346218487394959,1162
85,arbejde > hjem,Tagensvej,101,2200,55.7034163747071,12.5471585742071,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,0,Tagensvej,5265,1409,13.45209368346345,1155
86,hjem > arbejde,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,Vesterbrogade,20,1620,55.6731121121025,12.5588792863872,0,Børsgade,3001,821,13.159074299634591,658
87,arbejde > hjem,Vesterbrogade,20,1620,55.6731121121025,12.5588792863872,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,0,Vesterbrogade,3023,828,13.143478260869566,663
88,hjem > arbejde,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,Valby Langgade,68,2500,55.6662540484964,12.5137360161091,0,Vesterbrogade,6057,1638,13.312087912087913,1329
89,arbejde > hjem,Valby Langgade,68,2500,55.6662540484964,12.5137360161091,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,0,Valby Langgade,6078,1646,13.293317132442285,1334
90,hjem > arbejde,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,Gammel Køge Landevej,39,2500,55.6589883509109,12.5150578829606,0,Ingerslevsgade,6356,1636,13.986308068459659,1395
91,arbejde > hjem,Gammel Køge Landevej,39,2500,55.6589883509109,12.5150578829606,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,0,Vigerslev Allé,6356,1641,13.943692870201097,1395
92,hjem > arbejde,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,Sallingvej,11,2720,55.6940248140349,12.5091472508974,0,Rosenørns Alle,6743,1802,13.47103218645949,1480
93,arbejde > hjem,Sallingvej,11,2720,55.6940248140349,12.5091472508974,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,0,Godthåbsvej,6709,1797,13.440400667779633,1472
94,hjem > arbejde,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,Bispebjerg Bakke,21,2400,55.711816421815,12.541642859755,0,Sølvgade,6465,1725,13.492173913043478,1419
95,arbejde > hjem,Bispebjerg Bakke,21,2400,55.711816421815,12.541642859755,Prinsessegade,37,1422,55.6735369760511,12.5959928283161,0,Tagensvej,6437,1711,13.543658679135008,1413
